sample-id	sample	experiment	sampleType	treatment	timePoint	time	temperature	DHW	tank	fragID	genotype	kit	DNAextraction
123	C2.7 T0	Cliona	cliona	ambient	T0	0	28.1	0	5	C2.7 	C2	3	26.10.20
63	C3.43 T0	Cliona	cliona	ambient	T0	0	28.1	0	5	C3.43	C3	2	14.10.20
111	SW Cliona T0 tank 5	Cliona	seawater	ambient	T0	0	28.1	0	5	no	no	2	12.10.20
7	C1.9 T0	Cliona	cliona	ambient	T0	0	28.1	0	18	C1.9	C1	3	8.12.20
27	C2.21 T0	Cliona	cliona	ambient	T0	0	28.1	0	18	C2.21	C2	2	14.10.20
124	C3.27 T0	Cliona	cliona	ambient	T0	0	28.1	0	18	C3.27	C3	3	26.10.20
45	SW T0 tank 18	Cliona	seawater	ambient	T0	0	28.1	0	18	no	no	2	12.10.20
133	C2.10 T0	Cliona	cliona	ambient	T0	0	28.1	0	19	C2.10	C2	3	26.10.20
39	C3.28 T0	Cliona	cliona	ambient	T0	0	28.1	0	19	C3.28	C3	3	10.12.20
21	SW T0 tank 19	Cliona	seawater	ambient	T0	0	28.1	0	19	no	no	2	12.10.20
99	C3.37 T1	Cliona	cliona	ambient	T1	19	28.5	0	5	C3.37	C3	3	26.10.20
65	C1.31 T1	Cliona	cliona	ambient	T1	19	28.5	0	5	C1.31	C1	2	15.10.20
126	C2.13 T1	Cliona	cliona	ambient	T1	19	28.5	0	5	C2.13	C2	3	26.10.20
61	C1.27 T1	Cliona	cliona	ambient	T1	19	28.5	0	18	C1.27	C1	2	15.10.20
105	C2.3 T1	Cliona	cliona	ambient	T1	19	28.5	0	18	C2.3 	C2	3	26.10.20
14	C3.12 T1	Cliona	cliona	ambient	T1	19	28.5	0	18	C3.12	C3	2	15.10.20
74	C1.22 T1	Cliona	cliona	ambient	T1	19	28.5	0	19	C1.22	C1	2	15.10.20
101	C2.56 T1	Cliona	cliona	ambient	T1	19	28.5	0	19	C2.56	C2	3	26.10.20
69	C3.14 T1	Cliona	cliona	ambient	T1	19	28.5	0	19	C3.14	C3	2	15.10.20
19	C2.43 T2	Cliona	cliona	ambient	T2	27	28.6	0	5	C2.43	C2	3	28.10.20
83	C3.31 T2	Cliona	cliona	ambient	T2	27	28.6	0	5	C3.31	C3	3	9.12.20
28	C2.27 T2	Cliona	cliona	ambient	T2	27	28.6	0	18	C2.27	C2	3	9.12.20
104	C3.13 T2	Cliona	cliona	ambient	T2	27	28.6	0	18	C3.13	C3	3	28.10.20
121	C2.4 T2	Cliona	cliona	ambient	T2	27	28.6	0	19	C2.4 	C2	3	28.10.20
81	C3.23 T2	Cliona	cliona	ambient	T2	27	28.6	0	19	C3.23	C3	3	8.12.20
85	C1.25 T3	Cliona	cliona	ambient	T3	34	28.6	0	5	C1.25	C1	3	27.10.20
86	C2.31 T3	Cliona	cliona	ambient	T3	34	28.6	0	5	C2.31	C2	3	9.12.20
12	C3.8 T3	Cliona	cliona	ambient	T3	34	28.6	0	5	C3.8 	C3	2	16.10.20
122	SW Cliona T3 tank 5	Cliona	seawater	ambient	T3	34	28.6	0	5	no	no	4	10.12.20
103	C2.9 T3	Cliona	cliona	ambient	T3	34	28.6	0	18	C2.9 	C2	2	16.10.20
102	C3.39 T3	Cliona	cliona	ambient	T3	34	28.6	0	18	C3.39	C3	3	27.10.20
50	SW T3 tank 18	Cliona	seawater	ambient	T3	34	28.6	0	18	no	no	4	10.12.20
36	C1.34 T3	Cliona	cliona	ambient	T3	34	28.6	0	19	C1.34	C1	2	16.10.20
51	C2.22 T3	Cliona	cliona	ambient	T3	34	28.6	0	19	C2.22	C2	2	16.10.20
128	C3.15 T3	Cliona	cliona	ambient	T3	34	28.6	0	19	C3.15	C3	3	27.10.20
106	SW Cliona T3 tank 19	Cliona	seawater	ambient	T3	34	28.6	0	19	no	no	4	10.12.20
115	C2.37 T4	Cliona	cliona	ambient	T4	41	28.6	0	5	C2.37	C2	3	10.12.20
58	C2.49 T4	Cliona	cliona	ambient	T4	41	28.6	0	5	C2.49	C2	2	14.10.20
33	C3.1 T4	Cliona	cliona	ambient	T4	41	28.6	0	5	C3.1 	C3	3	9.12.20
107	C3.9 T4	Cliona	cliona	ambient	T4	41	28.6	0	5	C3.9 	C3	3	27.10.20
52	C2.39 T4	Cliona	cliona	ambient	T4	41	28.6	0	18	C2.39	C2	2	14.10.20
91	C3.22 T4	Cliona	cliona	ambient	T4	41	28.6	0	18	C3.22	C3	3	8.12.20
79	C1.4 T4	Cliona	cliona	ambient	T4	41	28.6	0	19	C1.4 	C1	3	27.10.20
31	C2.34 T4	Cliona	cliona	ambient	T4	41	28.6	0	19	C2.34	C2	3	27.10.20
32	C3.40 T4	Cliona	cliona	ambient	T4	41	28.6	0	19	C3.40	C3	2	14.10.20
3	C1.7 T5	Cliona	cliona	ambient	T5	58	28.6	0	5	C1.7 	C1	3	28.10.20
15	C2.25 T5	Cliona	cliona	ambient	T5	58	28.6	0	5	C2.25	C2	3	8.12.20
59	C3.20 T5	Cliona	cliona	ambient	T5	58	28.6	0	5	C3.20	C3	2	19.10.20
